,PLAYER_ID,PLAYER_NAME,PLAYER_POSITION,TEAM_ID,PLAYER_BACK_NUMBER,PLAYER_BIRTH_DATE,PLAYER_HEIGHT_WEIGHT,PLAYER_EDUCATION_PATH
676,677,배재환,투수,1,61.0,1995-02-24,"186cm, 95kg",가동초-잠신중-서울고-NC-상무
677,678,서동욱,투수,1,,2004-02-26,"177cm, 80kg",신천초(송파구리틀)-대치중-신일고
678,679,서의태,투수,1,58.0,1997-09-05,"194cm, 115kg",묵동초(남양주리틀)-청량중-경기고-KT-히어로즈-키움
679,680,서준교,내야수,1,116.0,2003-05-23,"181cm, 83kg",거제제산초(거제리틀)-외포중-김해고
680,681,서호철,내야수,1,5.0,1996-10-16,"179cm, 85kg",순천남산초-순천이수중-효천고-동의대-NC-상무
681,682,소이현,투수,1,50.0,1999-02-09,"185cm, 93kg",서울이수초-서울이수중-서울디자인고
682,683,손아섭,외야수,1,31.0,1988-03-18,"174cm, 84kg",양정초-개성중-부산고-롯데
683,684,손주환,투수,1,46.0,2002-01-05,"177cm, 85kg",영천초-신정중-물금고-동아대
684,685,송승환,외야수,1,8.0,2000-10-28,"183cm, 93kg",신기초(금천구리틀)-양천중-서울고-두산
685,686,신민우,포수,1,117.0,2006-08-13,"181cm, 88kg",김해우암초(김해리틀)-내동중-마산고
686,687,신민혁,투수,1,18.0,1999-02-04,"184cm, 95kg",염강초(강서구리틀)-매향중-야탑고
687,688,신성호,내야수,1,118.0,2003-09-28,"178cm, 76kg",김해삼성초-내동중-마산고
688,689,신영우,투수,1,43.0,2004-04-21,"182cm, 84kg",센텀초-센텀중-경남고
689,690,신용석,포수,1,,2003-10-11,"181cm, 91kg",양덕초-마산동중-마산고-NC-상무
690,691,안인산,내야수,1,119.0,2001-02-27,"181cm, 95kg",군포오금초(안양시리틀)-평촌중-야탑고
691,692,안중열,포수,1,1.0,1995-09-01,"176cm, 87kg",가야초-개성중-부산고-(영남사이버대)-KT-롯데-상무-롯데
692,693,양가온솔,외야수,1,120.0,2006-02-24,"182cm, 79kg",진북초-전라중-인상고
693,694,오영수,내야수,1,34.0,2000-01-30,"178cm, 93kg",사파초-창원신월중-용마고-NC-상무
694,695,원종해,투수,1,56.0,2005-04-09,"183cm, 83kg",길동초-건대부중-장충고
695,696,유재현,내야수,1,125.0,2005-10-17,"182cm, 76kg",길동초-홍은중-경기상고
696,697,이세민,투수,1,97.0,2005-08-08,"187cm, 100kg",칠성초-경복중-대구상원고
697,698,이용찬,투수,1,45.0,1989-01-02,"185cm, 85kg",신원초-양천중-장충고-두산-상무-두산
698,699,이재학,투수,1,51.0,1990-10-04,"181cm, 84kg",대구옥산초-경복중-대구고-두산
699,700,이준혁,투수,1,40.0,2003-06-30,"184cm, 87kg",용인포곡초(처인구리틀)-성일중-율곡고-NC
700,701,이한,내야수,1,122.0,2003-08-25,"181cm, 83kg",안산해양초(안산리틀)-수원북중-유신고-NC
701,702,임상현,투수,1,28.0,2005-07-16,"184cm, 89kg",김천신일초(김천시리틀)-상원중-대구상원고
702,703,임정호,투수,1,13.0,1990-04-16,"188cm, 90kg",성동초-잠신중-신일고-성균관대-NC-상무
703,704,임지민,투수,1,123.0,2003-10-11,"185cm, 82kg",가평목동초(가평리틀)-춘천중-강원고
704,705,임형원,투수,1,124.0,2001-09-15,"183cm, 73kg",시흥계수초(소사리틀)-동산중-인천고
705,706,장창훈,내야수,1,93.0,2000-05-22,"176cm, 70kg",강남초-개군중-설악고-강릉영동대
706,707,전루건,투수,1,47.0,2000-06-09,"185cm, 80kg",도신초-충암중-부천고-두산
707,708,전사민,투수,1,57.0,1999-07-06,"194cm, 85kg",연서초(부산동래구리틀)-대신중-부산정보고-NC-상무
708,709,정주영,투수,1,133.0,2004-06-18,"184cm, 97kg",대구장기초(대구달서구리틀)-경운중-경북고
709,710,정현창,내야수,1,52.0,2006-07-14,"177cm, 70kg",김해부곡초-부산토현중-부산공고
710,711,조창연,외야수,1,127.0,2006-04-07,"185cm, 90kg",천안남산초-장충중-장충고
711,712,조현민,내야수,1,128.0,2005-03-23,"181cm, 83kg",정수초(성북구리틀)-서울이수중-충암고
712,713,조효원,내야수,1,129.0,1999-03-10,"180cm, 87kg",공주중동초-온양중-공주고-원광대
