PITCHER_STATS_ID,TEAM_ID,PITCHER_STATS_YEAR,PLAYER_NAME,PITCHER_STATS_ERA,PITCHER_STATS_G,PITCHER_STATS_W,PITCHER_STATS_L,PITCHER_STATS_SV,PITCHER_STATS_HLD,PITCHER_STATS_WPCT,PITCHER_STATS_IP,PITCHER_STATS_H,PITCHER_STATS_HR,PITCHER_STATS_BB,PITCHER_STATS_HBP,PITCHER_STATS_SO,PITCHER_STATS_R,PITCHER_STATS_ER,PITCHER_STATS_WHIP
71,12,2005,손승락,5.43 ,26,5,10,0,0,0.333 ,134 1/3,154,18,48,10,80,81,81,1.50 
72,9,2006,류현진,2.23 ,30,18,6,1,0,0.750 ,201 2/3,159,11,52,2,204,57,50,1.05 
73,3,2006,브라운,2.68 ,27,11,9,0,0,0.550 ,154 1/3,118,14,44,13,92,50,46,1.05 
74,2,2006,손민한,2.78 ,25,10,8,1,0,0.556 ,161 2/3,147,4,39,9,96,54,50,1.15 
75,6,2006,이혜천,2.79 ,32,8,6,0,1,0.571 ,142,119,4,56,12,104,52,44,1.23 
76,12,2006,장원삼,2.85 ,29,12,10,0,0,0.545 ,183 1/3,146,19,63,5,142,60,58,1.14 
77,12,2006,캘러웨이,2.87 ,27,14,7,0,0,0.667 ,166 1/3,171,4,35,8,95,61,53,1.24 
78,6,2006,리오스,2.90 ,34,12,16,0,0,0.429 ,233,204,14,49,15,145,86,75,1.09 
79,3,2006,배영수,2.92 ,32,8,9,0,4,0.471 ,157 1/3,142,13,38,9,133,56,51,1.14 
80,6,2006,랜들,2.95 ,30,16,8,0,0,0.667 ,192 1/3,170,14,58,10,142,66,63,1.19 
81,4,2006,그레이싱어,3.02 ,29,14,12,0,0,0.538 ,188,151,10,47,12,164,65,63,1.05 
82,9,2006,문동환,3.05 ,31,16,9,1,0,0.640 ,189,186,10,67,11,85,78,64,1.34 
83,13,2006,채병용,3.07 ,27,7,8,0,0,0.467 ,152 2/3,136,10,55,9,97,60,52,1.25 
84,2,2006,이상목,3.25 ,23,12,8,0,0,0.600 ,138 2/3,132,17,23,5,50,63,50,1.12 
85,4,2006,한기주,3.26 ,44,10,11,1,8,0.476 ,140 2/3,117,8,52,12,78,57,51,1.20 
86,3,2006,하리칼라,3.33 ,23,12,7,0,0,0.632 ,135 1/3,131,14,26,6,70,60,50,1.16 
87,12,2006,전준호,3.39 ,30,14,4,1,0,0.778 ,143 1/3,141,7,60,12,82,56,54,1.40 
88,5,2006,정재복,3.59 ,29,7,10,0,0,0.412 ,143,126,9,49,3,63,64,57,1.22 
89,9,2006,송진우,3.60 ,26,8,8,0,0,0.500 ,147 1/3,147,10,47,9,94,64,59,1.32 
90,2,2006,장원준,3.61 ,29,7,12,0,0,0.368 ,179 2/3,152,14,75,9,130,85,72,1.26 
91,2,2006,염종석,3.72 ,25,6,9,0,0,0.400 ,128 1/3,146,7,31,5,62,62,53,1.38 
92,3,2006,전병호,3.90 ,35,10,8,0,2,0.556 ,134,146,10,47,5,65,69,58,1.44 
93,13,2006,윤길현,3.90 ,32,5,9,1,2,0.357 ,140 2/3,126,13,54,7,91,66,61,1.28 
94,3,2006,임동규,3.91 ,34,8,7,0,3,0.533 ,138,136,20,41,8,59,69,60,1.28 
95,9,2006,정민철,3.93 ,25,7,13,0,0,0.350 ,130 2/3,142,18,42,5,62,68,57,1.41 
96,13,2006,김원형,4.07 ,24,5,9,0,0,0.357 ,139 1/3,152,11,41,13,52,69,63,1.39 
97,5,2006,심수창,4.38 ,29,10,9,0,0,0.526 ,135 2/3,147,17,52,8,56,73,66,1.47 
98,6,2007,리오스,2.07 ,33,22,5,0,0,0.815 ,234 2/3,191,8,58,16,147,69,54,1.06 
99,13,2007,채병용,2.84 ,28,11,8,0,0,0.579 ,146,137,8,47,5,84,51,46,1.26 
100,9,2007,정민철,2.90 ,26,12,5,0,0,0.706 ,155 1/3,155,11,32,8,66,58,50,1.20 
101,9,2007,류현진,2.94 ,30,17,7,0,0,0.708 ,211,195,15,68,3,178,74,69,1.25 
102,6,2007,랜들,3.12 ,28,12,8,0,0,0.600 ,164 1/3,142,16,55,10,113,60,57,1.20 
103,5,2007,박명환,3.19 ,27,10,6,0,0,0.625 ,155 1/3,133,11,72,4,117,59,55,1.32 
104,13,2007,레이번,3.27 ,32,17,8,0,0,0.680 ,184 2/3,167,13,86,13,98,74,67,1.37 
105,3,2007,브라운,3.33 ,30,12,8,0,0,0.600 ,162 1/3,155,10,43,14,68,65,60,1.22 
106,2,2007,손민한,3.34 ,30,13,10,0,0,0.565 ,194,191,17,48,2,95,74,72,1.23 
107,12,2007,장원삼,3.63 ,30,9,10,0,0,0.474 ,168 2/3,152,16,75,3,132,80,68,1.35 
108,13,2007,로마노,3.69 ,32,12,4,0,0,0.750 ,146 1/3,158,9,67,5,81,72,60,1.54 
109,4,2007,윤석민,3.78 ,28,7,18,0,0,0.280 ,162,161,10,59,15,104,76,68,1.36 
110,12,2007,김수경,3.88 ,30,12,7,0,0,0.632 ,176 1/3,170,19,61,2,127,85,76,1.31 
111,4,2007,스코비,3.92 ,22,8,10,0,0,0.444 ,126 1/3,123,11,62,5,58,57,55,1.46 
112,3,2007,전병호,4.06 ,32,8,8,0,2,0.500 ,137 1/3,148,11,41,4,39,71,62,1.38 
113,9,2007,세드릭,4.15 ,28,11,13,0,0,0.458 ,158 1/3,143,7,104,10,140,81,73,1.56 
114,5,2007,정재복,4.42 ,44,6,5,1,2,0.545 ,126 1/3,134,6,38,2,71,65,62,1.36 
115,12,2007,황두성,4.45 ,46,7,9,1,3,0.438 ,139 2/3,121,13,51,1,142,76,69,1.23 
116,2,2007,장원준,4.67 ,32,8,12,0,0,0.400 ,156,171,14,69,9,103,87,81,1.54 
117,12,2007,전준호,4.75 ,26,6,10,0,0,0.375 ,142,145,23,60,6,73,79,75,1.44 
118,4,2008,윤석민,2.33 ,24,14,5,0,1,0.737 ,154 2/3,121,10,42,4,119,45,40,1.05 
119,13,2008,김광현,2.39 ,27,16,4,0,0,0.800 ,162,127,9,63,2,150,50,43,1.17 
120,5,2008,봉중근,2.66 ,28,11,8,0,0,0.579 ,186 1/3,153,13,68,12,140,66,55,1.19 
121,13,2008,채병용,2.70 ,27,10,2,0,1,0.833 ,136 2/3,126,10,43,6,81,43,41,1.24 
122,15,2008,장원삼,2.85 ,27,12,8,0,0,0.600 ,167 1/3,145,9,57,2,126,54,53,1.21 
123,2,2008,손민한,2.97 ,26,12,4,0,0,0.750 ,179,183,12,40,1,80,66,59,1.25 
124,13,2008,레이번,3.30 ,26,5,3,0,0,0.625 ,133 2/3,129,9,65,10,68,55,49,1.45 
125,9,2008,류현진,3.31 ,26,14,7,0,0,0.667 ,165 2/3,144,12,67,1,143,66,61,1.27 
126,3,2008,정현욱,3.40 ,53,10,4,0,11,0.714 ,127,108,3,55,1,97,51,48,1.28 
127,15,2008,마일영,3.49 ,28,11,11,0,0,0.500 ,173,155,11,57,12,83,77,67,1.23 
128,2,2008,장원준,3.53 ,26,12,10,0,0,0.545 ,155 2/3,162,12,54,4,102,75,61,1.39 
