GAME_DATE,STADIUM,HOME_SCORE,AWAY_SCORE,IS_RAINED_OUT,HOME_TEAM_NAME,AWAY_TEAM_NAME
2001-05-17 18:30:00,잠실,1,5,N,LG,두산
2001-05-17 18:30:00,청주,6,8,N,한화,현대
2001-05-18 18:30:00,무등,2,4,N,KIA,LG
2001-05-18 18:30:00,인천,4,5,N,SK,롯데
2001-05-18 18:30:00,잠실,4,7,N,두산,현대
2001-05-18 18:30:00,대전,4,7,N,한화,삼성
2001-05-19 17:00:00,무등,13,9,N,KIA,LG
2001-05-19 17:00:00,인천,5,7,N,SK,롯데
2001-05-19 17:00:00,잠실,8,11,N,두산,현대
2001-05-19 17:00:00,대전,1,12,N,한화,삼성
2001-05-02 14:00:00,무등,8,3,N,KIA,LG
2001-05-02 14:00:00,인천,11,15,N,SK,롯데
2001-05-02 14:00:00,잠실,8,3,N,두산,현대
2001-05-02 14:00:00,대전,3,2,N,한화,삼성
2001-05-22 18:30:00,사직,8,2,N,롯데,KIA
2001-05-22 18:30:00,수원,3,2,N,현대,삼성
2001-05-23 15:00:00,인천,9,7,N,SK,두산
2001-05-23 15:00:00,잠실,5,13,N,LG,한화
2001-05-23 18:30:00,잠실,7,6,N,LG,한화
2001-05-23 18:30:00,사직,3,4,N,롯데,KIA
2001-05-23 18:30:00,수원,6,5,N,현대,삼성
2001-05-23 18:40:00,인천,7,6,N,SK,두산
2001-05-24 18:30:00,인천,7,0,N,SK,두산
2001-05-24 18:30:00,잠실,7,6,N,LG,한화
2001-05-24 18:30:00,사직,6,7,N,롯데,KIA
2001-05-24 18:30:00,수원,3,7,N,현대,삼성
2001-05-25 18:30:00,시민,7,6,N,삼성,KIA
2001-05-25 18:30:00,잠실,4,3,N,LG,SK
2001-05-25 18:30:00,사직,7,8,N,롯데,두산
2001-05-25 18:30:00,수원,3,12,N,현대,한화
2001-05-26 17:00:00,시민,12,9,N,삼성,KIA
2001-05-26 17:00:00,잠실,4,11,N,LG,SK
2001-05-26 17:00:00,사직,4,3,N,롯데,두산
2001-05-26 17:00:00,수원,0,4,N,현대,한화
2001-05-27 14:00:00,시민,3,2,N,삼성,KIA
2001-05-27 14:00:00,잠실,11,3,N,LG,SK
2001-05-27 14:00:00,사직,8,9,N,롯데,두산
2001-05-27 14:00:00,수원,4,3,N,현대,한화
2001-05-29 18:30:00,인천,6,14,N,SK,현대
2001-05-29 18:30:00,무등,5,6,N,KIA,LG
2001-05-29 18:30:00,잠실,5,1,N,두산,삼성
2001-05-29 18:30:00,대전,4,3,N,한화,롯데
2001-05-03 18:30:00,인천,3,6,N,SK,현대
2001-05-03 18:30:00,잠실,10,2,N,두산,삼성
2001-05-03 18:30:00,대전,5,17,N,한화,롯데
2001-05-31 15:00:00,무등,6,10,N,KIA,LG
2001-05-31 18:30:00,인천,7,10,N,SK,현대
2001-05-31 18:30:00,잠실,0,6,N,두산,삼성
2001-05-31 18:30:00,대전,7,5,N,한화,롯데
2001-05-31 19:00:00,무등,3,3,N,KIA,LG
2001-06-01 18:30:00,인천,3,4,N,SK,KIA
2001-06-01 18:30:00,잠실,5,1,N,두산,현대
2001-06-01 18:30:00,사직,4,5,N,롯데,삼성
2001-06-01 18:30:00,청주,8,8,N,한화,LG
2001-06-02 18:30:00,인천,6,7,N,SK,KIA
2001-06-02 18:30:00,잠실,4,4,N,두산,현대
2001-06-02 18:30:00,사직,4,7,N,롯데,삼성
2001-06-02 18:30:00,청주,5,13,N,한화,LG
2001-06-03 14:00:00,인천,5,4,N,SK,KIA
2001-06-03 14:00:00,잠실,5,11,N,두산,현대
2001-06-03 14:00:00,사직,11,5,N,롯데,삼성
2001-06-03 14:00:00,청주,8,7,N,한화,LG
2001-06-05 18:30:00,무등,7,4,N,KIA,한화
2001-06-05 18:30:00,시민,4,1,N,삼성,두산
2001-06-05 18:30:00,잠실,2,8,N,LG,SK
2001-06-05 18:30:00,수원,7,4,N,현대,롯데
2001-06-06 14:00:00,무등,6,7,N,KIA,한화
2001-06-06 14:00:00,시민,5,2,N,삼성,두산
2001-06-06 14:00:00,잠실,3,2,N,LG,SK
2001-06-06 14:00:00,수원,6,5,N,현대,롯데
2001-06-07 18:30:00,무등,8,2,N,KIA,한화
2001-06-07 18:30:00,시민,6,2,N,삼성,두산
2001-06-07 18:30:00,잠실,14,5,N,LG,SK
2001-06-07 18:30:00,수원,11,4,N,현대,롯데
2001-06-08 18:30:00,인천,3,5,N,SK,삼성
2001-06-08 18:30:00,잠실,9,6,N,LG,롯데
2001-06-08 18:30:00,수원,1,5,N,현대,KIA
2001-06-08 18:30:00,대전,2,12,N,한화,두산
2001-06-09 18:30:00,인천,1,3,N,SK,삼성
2001-06-09 18:30:00,잠실,9,1,N,LG,롯데
2001-06-09 18:30:00,수원,10,8,N,현대,KIA
2001-06-09 18:30:00,대전,3,5,N,한화,두산
2001-06-01 14:00:00,인천,4,5,N,SK,삼성
2001-06-01 14:00:00,잠실,6,8,N,LG,롯데
2001-06-01 14:00:00,수원,6,0,N,현대,KIA
2001-06-01 14:00:00,대전,5,10,N,한화,두산
2001-06-12 18:30:00,시민,10,6,N,삼성,LG
2001-06-12 18:30:00,잠실,4,8,N,두산,KIA
2001-06-12 18:30:00,사직,5,12,N,롯데,SK
2001-06-12 18:30:00,대전,3,6,N,한화,현대
2001-06-13 18:30:00,잠실,11,10,N,두산,KIA
2001-06-14 15:00:00,대전,5,10,N,한화,현대
2001-06-14 18:20:00,시민,7,4,N,삼성,LG
2001-06-14 18:30:00,잠실,5,6,N,두산,KIA
2001-06-14 18:40:00,대전,1,12,N,한화,현대
2001-06-15 18:30:00,마산,6,2,N,롯데,현대
2001-06-15 18:30:00,인천,0,6,N,SK,한화
